variable,direct,indirect,total,p_indirect,interpretation,group
log_hotel_beds,0.6626880803730525,0.32198790905180896,0.9846759894248615,0,Complementarity / agglomeration,Plain/Inland
log_non_hotel_beds,0.25990154372308055,0.12628136388936168,0.38618290761244223,0,Complementarity / agglomeration,Plain/Inland
has_hotel_bedsYes,-1.5146990290281532,-0.735964306050332,-2.2506633350784853,0,Substitution / competition,Plain/Inland
high_end_pct_centered,0.0012041530665763609,5.85075753689401e-4,0.001789228820265762,0.12150666075015759,No significant spillover,Plain/Inland
altitude_zone2,0.5200512655786762,0.2526833129534498,0.772734578532126,0.002397161386389568,Complementarity / agglomeration,Plain/Inland
altitude_zone3,0.22113689017823465,0.10744633409224166,0.3285832242704763,2.653367002114493e-6,Complementarity / agglomeration,Plain/Inland
altitude_zone4,0.2658829826389387,0.129187634677504,0.3950706173164427,2.3176013581660548e-4,Complementarity / agglomeration,Plain/Inland
altitude_zone5,0.6163534799914284,0.2994747817819903,0.9158282617734187,0,Complementarity / agglomeration,Plain/Inland
log_protected_area,-0.07437432620966589,-0.03613711260644137,-0.11051143881610725,7.0085301082656315e-6,Substitution / competition,Plain/Inland
log_museums,0.016715201942143737,0.008121608162470362,0.0248368101046141,0.46338936004415143,No significant spillover,Plain/Inland
log_architecture,0.03754035958433549,0.018240167954746804,0.055780527539082296,0.08325072498601283,No significant spillover,Plain/Inland
log_sports,0.28507035360923866,0.1385104241495137,0.42358077775875236,0,Complementarity / agglomeration,Plain/Inland
log_nature,0.1398750151329025,0.06796268860891502,0.20783770374181754,3.1826228319431493e-9,Complementarity / agglomeration,Plain/Inland
log_theme_parks,0.04917522290246823,0.02389333333203897,0.0730685562345072,0.6205027457619972,No significant spillover,Plain/Inland
log_nightlife,0.10539080822313673,0.051207448840704856,0.1565982570638416,5.606662620993852e-5,Complementarity / agglomeration,Plain/Inland
log_transport_pts,0.04077129131259705,0.01981001805811134,0.06058130937070839,0.014771872676779374,Complementarity / agglomeration,Plain/Inland
log_airport_dist,-0.20461454283960923,-0.09941843042269494,-0.30403297326230416,3.164115636167253e-9,Substitution / competition,Plain/Inland
has_unescoYes,-0.2304050197735566,-0.11194954722916567,-0.34235456700272227,0.3004833901767965,No significant spillover,Plain/Inland
