variable,direct,indirect,total,p_indirect,interpretation,group
log_hotel_beds,0.45097658919874045,0.27940407347263246,0.7303806626713729,1.4066452447281108e-9,Complementarity / agglomeration,Centre
log_non_hotel_beds,0.7778805276311475,0.48193851588026126,1.2598190435114087,0,Complementarity / agglomeration,Centre
has_hotel_bedsYes,-0.6466636201125524,-0.4006426363439948,-1.0473062564565472,0.025358290630460134,Substitution / competition,Centre
high_end_pct_centered,0.0033812679691520887,0.0020948760239687123,0.005476143993120801,0.09791757982814575,No significant spillover,Centre
island_municipalityIsland,-0.30058353362931955,-0.18622754645434364,-0.4868110800836632,0.5801010441194876,No significant spillover,Centre
altitude_zone2,-0.23337115959177684,-0.14458589244471665,-0.3779570520364935,0.6398824824843439,No significant spillover,Centre
altitude_zone3,0.20223029268832618,0.12529246286835607,0.32752275555668225,0.15342699759882272,No significant spillover,Centre
altitude_zone4,0.1318753912175276,0.08170384534248265,0.21357923656001024,0.5480431981619414,No significant spillover,Centre
altitude_zone5,0.1313673811123091,0.0813891059609651,0.21275648707327421,0.741916966500402,No significant spillover,Centre
log_sea_coast_km,-0.22882926848237656,-0.14177194842272145,-0.370601216905098,0.04387413134043938,Substitution / competition,Centre
log_lake_coast_km,-0.019480332348044478,-0.012069105893755601,-0.03154943824180008,0.7910278863649558,No significant spillover,Centre
log_protected_area,-0.08338313674912089,-0.051660304824299716,-0.1350434415734206,0.0926409707670448,No significant spillover,Centre
log_museums,0.017745756914994547,0.010994443808522332,0.02874020072351688,0.8247718059614388,No significant spillover,Centre
log_architecture,-0.03769473453610222,-0.02335390046868955,-0.06104863500479177,0.6952892822457335,No significant spillover,Centre
log_sports,0.04600100508247766,0.028500078522292,0.07450108360476966,0.4763151599007629,No significant spillover,Centre
log_nature,-0.055794851415111306,-0.034567889193273256,-0.09036274060838456,0.31106967346318526,No significant spillover,Centre
log_theme_parks,0.03895141911124883,0.024132483654105072,0.0630839027653539,0.720235015149159,No significant spillover,Centre
log_nightlife,0.279979138147875,0.17346202343864736,0.45344116158652237,3.656547943822197e-4,Complementarity / agglomeration,Centre
log_transport_pts,-0.003218698544019669,-0.0019941555859415293,-0.005212854129961198,0.8629036847204214,No significant spillover,Centre
log_airport_dist,0.1802553776988805,0.11167782984899072,0.2919332075478712,0.06645601320583272,No significant spillover,Centre
has_unescoYes,-0.31143079978787364,-0.19294800694681996,-0.5043788067346936,0.4289975898775098,No significant spillover,Centre
log_hotel_beds,0.7238913882204028,0.2549545804776746,0.9788459686980774,0,Complementarity / agglomeration,South and Islands
log_non_hotel_beds,0.24923968792552997,0.08778222963759391,0.3370219175631239,0,Complementarity / agglomeration,South and Islands
has_hotel_bedsYes,-1.6000393357096936,-0.5635339281856986,-2.163573263895392,2.220446049250313e-16,Substitution / competition,South and Islands
high_end_pct_centered,0.0019385892561539944,6.82771225855203e-4,0.0026213604820091974,0.046799600693212984,Complementarity / agglomeration,South and Islands
island_municipalityIsland,-0.06468307820353024,-0.022781383140815292,-0.08746446134434553,0.7579424214058701,No significant spillover,South and Islands
altitude_zone2,0.5447573592498139,0.19186356717283515,0.7366209264226491,1.1496653773623855e-4,Complementarity / agglomeration,South and Islands
altitude_zone3,0.16436841719685064,0.0578905641538634,0.22225898135071404,0.02003906781571918,Complementarity / agglomeration,South and Islands
altitude_zone4,0.46799409455111063,0.16482754178860204,0.6328216363397127,5.4577613983752826e-8,Complementarity / agglomeration,South and Islands
altitude_zone5,0.5662957002490762,0.1994493718709014,0.7657450721199776,3.801713832629616e-9,Complementarity / agglomeration,South and Islands
log_sea_coast_km,-0.11323587604526798,-0.03988168079070063,-0.15311755683596862,0.006943637928117807,Substitution / competition,South and Islands
log_lake_coast_km,0.048802048166606986,0.017188083625855007,0.06599013179246199,0.4807572002680869,No significant spillover,South and Islands
log_protected_area,-0.0500298368513088,-0.017620510857504955,-0.06765034770881376,0.04355989297623686,Substitution / competition,South and Islands
log_museums,0.06034480882918427,0.02125344446612732,0.08159825329531159,0.34311035087624564,No significant spillover,South and Islands
log_architecture,0.10505819712713657,0.03700150189676618,0.14205969902390275,0.0039037055509512086,Complementarity / agglomeration,South and Islands
log_sports,0.28163529705768,0.0991919646752088,0.3808272617328888,1.346691647086118e-10,Complementarity / agglomeration,South and Islands
log_nature,0.1378524906599221,0.04855165359876068,0.1864041442586828,0.001713585810458218,Complementarity / agglomeration,South and Islands
log_theme_parks,-0.11151789189339385,-0.03927660669279605,-0.1507944985861899,0.5426883563929696,No significant spillover,South and Islands
log_nightlife,0.09345564264527918,0.03291508167057246,0.12637072431585164,0.01871813127752131,Complementarity / agglomeration,South and Islands
log_transport_pts,-0.009532531656823103,-0.00335735809128802,-0.012889889748111123,0.7084735337985366,No significant spillover,South and Islands
log_airport_dist,-0.088628386435273,-0.031214921809704407,-0.11984330824497741,0.027053406391653212,Substitution / competition,South and Islands
has_unescoYes,-0.19794420647054,-0.06971595869202019,-0.2676601651625602,0.41114034799453125,No significant spillover,South and Islands
