variable,direct,indirect,total,p_indirect,interpretation
log_hotel_beds,0.6070540057221342,0.2603279766882789,0.8673819824104131,0,Complementarity / agglomeration
log_non_hotel_beds,0.276476209393862,0.11856357344735785,0.3950397828412199,0,Complementarity / agglomeration
has_hotel_bedsYes,-1.2765621922262986,-0.5474386948879484,-1.824000887114247,0,Substitution / competition
high_end_pct_centered,0.0022936808094940505,9.836180614507532e-4,0.003277298870944804,6.048102121511967e-4,Complementarity / agglomeration
island_municipalityIsland,-0.325089911839324,-0.1394109884675397,-0.4645009003068637,0.12916706000360678,No significant spillover
altitude_zone2,0.2677302113632333,0.11481295496865296,0.38254316633188623,0.028133376949132094,Complementarity / agglomeration
altitude_zone3,0.16046871252086295,0.06881512165072629,0.22928383417158923,3.433512010035944e-4,Complementarity / agglomeration
altitude_zone4,0.25050166610581204,0.10742469579258251,0.35792636189839455,4.323352433632799e-5,Complementarity / agglomeration
altitude_zone5,0.5820275815479193,0.2495956887738523,0.8316232703217716,0,Complementarity / agglomeration
log_sea_coast_km,-0.06712376107852044,-0.028785236147963272,-0.09590899722648372,0.013768453786456858,Substitution / competition
log_lake_coast_km,0.09977448514854041,0.042787115477372115,0.14256160062591253,0.003497969534357992,Complementarity / agglomeration
log_protected_area,-0.06118797404635284,-0.02623974363235334,-0.08742771767870618,2.1524942317441287e-7,Substitution / competition
log_museums,-0.04256185922608245,-0.018252153172495587,-0.06081401239857804,0.1865264343864912,No significant spillover
log_architecture,0.03353777022531193,0.014382278649172124,0.047920048874484054,0.1286131311681571,No significant spillover
log_sports,0.2507908352358588,0.10754870257589366,0.3583395378117525,0,Complementarity / agglomeration
log_nature,0.12228441728434841,0.05244023535314743,0.17472465263749584,2.2470914018413168e-13,Complementarity / agglomeration
log_theme_parks,-0.02937354165639196,-0.012596498162434553,-0.041970039818826514,0.9448923440200621,No significant spillover
log_nightlife,0.10241277977842823,0.04391851712604293,0.14633129690447116,6.69858726709549e-7,Complementarity / agglomeration
log_transport_pts,0.044446961480839375,0.019060557122071053,0.06350751860291043,0.0010353412775376825,Complementarity / agglomeration
log_airport_dist,-0.1375953299746952,-0.059006140337478113,-0.19660147031217332,6.241035022114261e-9,Substitution / competition
has_unescoYes,-0.2307943223306525,-0.09897343300125194,-0.32976775533190444,0.22523351627645027,No significant spillover
