istat_code,municipality,sea_coast_km,lake_coast_km,protected_areas_sqkm,museums,architectural_features,sports_facilities,nature_based,theme_parks,nightlife,public_transport_points,airport_straight_km
1001,Agliè,0.0,0.432,3.056,0,4,8,4,0,0,11,20.818
1002,Airasca,0.0,0.172,0.0,0,0,11,1,0,1,5,33.66
1003,Ala di Stura,0.0,0.387,0.0,0,1,18,25,0,1,0,31.289
1004,Albiano d'Ivrea,0.0,0.0,0.0,0,1,3,0,0,2,22,34.386
1006,Almese,0.0,0.29,3.442,0,0,12,21,0,0,29,20.366
1007,Alpette,0.0,0.0,0.0,1,0,6,1,0,0,7,23.601
1008,Alpignano,0.0,0.0,0.0,1,0,17,0,0,4,22,15.305
1009,Andezeno,0.0,0.0,0.0,0,0,5,3,0,2,0,24.928
1010,Andrate,0.0,0.144,1.984,0,1,2,6,0,0,5,42.629
1011,Angrogna,0.0,0.492,0.155,5,0,2,15,0,0,0,49.641
1012,Arignano,0.0,0.077,0.0,0,2,4,3,0,0,0,26.617
1013,Avigliana,0.0,0.0,4.134,1,5,51,9,0,8,18,24.681
1014,Azeglio,0.0,2.913,1.972,1,2,4,3,0,0,20,36.401
1015,Bairo,0.0,0.0,0.0,0,4,13,4,0,2,3,20.992
1016,Balangero,0.0,0.0,0.0,0,1,11,0,0,0,5,13.329
1017,Baldissero Canavese,0.0,0.0,0.595,0,1,8,2,0,1,16,23.918
1018,Baldissero Torinese,0.0,0.0,1.433,0,0,14,8,0,0,30,18.86
1019,Balme,0.0,5.105,0.0,2,4,1,35,0,1,0,38.054
1020,Banchette,0.0,0.0,0.0,0,1,1,2,0,1,12,32.791
1021,Barbania,0.0,0.0,0.0,0,1,1,4,0,0,6,10.699
1022,Bardonecchia,0.0,0.284,25.139,4,5,128,48,0,4,82,73.148
1023,Barone Canavese,0.0,0.0,0.0,0,1,2,2,0,0,0,21.333
1024,Beinasco,0.0,0.0,0.139,1,0,49,0,0,3,47,21.044
1025,Bibiana,0.0,0.0,0.0,0,0,3,0,0,0,0,37.94
1026,Bobbio Pellice,0.0,1.122,0.011,1,0,6,32,0,2,1,51.369
1027,Bollengo,0.0,0.0,5.2,0,1,4,7,0,2,14,37.561
1028,Borgaro Torinese,0.0,0.116,0.616,0,0,22,0,0,9,33,6.068
1029,Borgiallo,0.0,0.0,0.0,0,0,2,4,0,1,8,25.256
1030,Borgofranco d'Ivrea,0.0,0.68,3.368,0,2,6,2,0,3,35,38.216
1031,Borgomasino,0.0,0.0,0.006,0,1,3,1,0,0,4,31.439
1032,Borgone Susa,0.0,0.567,0.0,0,0,9,0,0,3,3,33.114
1033,Bosconero,0.0,0.0,0.0,0,0,4,1,0,1,18,11.922
1034,Brandizzo,0.0,0.0,0.064,0,0,10,0,0,1,16,14.671
1035,Bricherasio,0.0,0.0,0.0,0,2,11,2,0,5,4,40.814
1036,Brosso,0.0,0.0,0.0,1,1,10,6,0,0,5,36.375
1037,Brozolo,0.0,0.0,0.0,0,0,7,1,0,0,8,34.312
1038,Bruino,0.0,0.0,0.0,0,1,30,2,0,1,12,24.955
1039,Brusasco,0.0,0.0,3.314,0,0,22,2,0,0,10,32.779
1040,Bruzolo,0.0,0.0,0.0,0,3,7,3,0,0,3,35.861
1041,Buriasco,0.0,0.0,0.0,0,1,14,0,0,0,0,39.612
1042,Burolo,0.0,0.0,4.429,0,2,2,1,0,2,16,38.259
1043,Busano,0.0,0.172,0.0,0,0,4,0,0,0,17,13.639
1044,Bussoleno,0.0,0.0,16.517,1,3,15,24,0,0,12,41.185
1045,Buttigliera Alta,0.0,0.917,0.0,0,0,19,4,0,4,20,22.082
1046,Cafasse,0.0,0.0,0.0,0,0,10,3,0,0,0,12.239
1047,Caluso,0.0,0.0,0.0,0,5,19,0,0,1,21,20.269
1048,Cambiano,0.0,0.796,0.0,2,2,30,3,0,1,25,27.161
1049,Campiglione Fenile,0.0,0.0,0.0,0,3,5,1,0,0,0,36.937
1050,Candia Canavese,0.0,6.319,2.963,0,1,8,2,0,1,3,24.111
1051,Candiolo,0.0,0.0,5.348,0,1,26,0,0,1,17,26.949
1052,Canischio,0.0,0.0,0.0,0,0,1,5,0,0,15,20.804
1053,Cantalupa,0.0,0.0,0.009,1,0,20,7,0,0,2,37.342
1054,Cantoira,0.0,0.0,0.0,1,4,4,13,0,1,1,26.53
1055,Caprie,0.0,0.595,0.0,0,0,3,6,0,1,15,25.472
1056,Caravino,0.0,0.293,0.114,2,1,4,2,0,0,5,32.819
1057,Carema,0.0,0.0,0.0,0,3,4,2,0,2,4,39.828
1058,Carignano,0.0,2.259,0.161,2,1,55,0,0,7,11,33.687
1059,Carmagnola,0.0,4.604,0.0,5,0,189,0,0,1,25,35.673
1060,Casalborgone,0.0,0.0,7.668,0,1,15,9,0,2,17,23.692
1061,Cascinette d'Ivrea,0.0,1.207,1.693,0,1,1,3,0,1,14,37.127
1062,Caselette,0.0,1.361,6.227,0,1,8,9,0,0,18,17.656
1063,Caselle Torinese,0.0,0.0,2.986,0,0,25,0,0,7,26,2.563
1064,Castagneto Po,0.0,0.0,3.015,0,2,8,8,0,0,36,19.48
1065,Castagnole Piemonte,0.0,0.0,0.0,0,0,28,0,0,0,0,34.602
1066,Castellamonte,0.0,0.218,1.556,1,1,17,3,0,7,45,23.205
1067,Castelnuovo Nigra,0.0,0.0,0.0,0,0,1,13,0,0,7,29.578
1068,Castiglione Torinese,0.0,0.0,0.0,0,0,25,7,0,3,13,15.444
1069,Cavagnolo,0.0,0.0,0.739,0,0,12,0,0,0,13,30.709
1070,Cavour,0.0,0.0,0.734,1,3,26,2,0,4,0,33.14
1071,Cercenasco,0.0,0.0,0.0,0,0,7,1,0,2,6,36.683
1072,Ceres,0.0,0.0,0.0,1,1,3,12,0,1,9,26.314
1073,Ceresole Reale,0.0,4.427,0.137,2,1,53,45,0,1,32,35.533
1074,Cesana Torinese,0.0,1.513,23.099,1,2,257,54,0,5,2,72.106
1075,Chialamberto,0.0,0.0,0.0,0,0,6,14,0,0,0,31.371
1076,Chianocco,0.0,0.0,1.581,0,0,4,14,0,4,0,37.938
1077,Chiaverano,0.0,4.164,10.548,1,1,5,10,0,1,28,39.06
1078,Chieri,0.0,1.33,0.0,5,10,137,9,0,10,115,25.92
1079,Chiesanuova,0.0,0.0,0.0,0,0,3,3,0,0,14,24.682
1080,Chiomonte,0.0,0.326,1.21,2,2,81,11,0,0,12,53.436
1081,Chiusa di San Michele,0.0,0.0,0.0,0,0,6,3,0,1,5,28.197
1082,Chivasso,0.0,0.0,3.054,0,2,33,3,0,11,70,19.232
1083,Ciconio,0.0,0.0,0.0,0,0,2,0,0,1,6,16.738
1084,Cintano,0.0,0.0,0.0,0,0,1,5,0,1,12,26.797
1085,Cinzano,0.0,0.0,0.005,0,1,7,5,0,1,7,24.461
1086,Ciriè,0.0,0.0,1.531,0,2,32,1,0,1,22,5.134
1087,Claviere,0.0,0.238,0.077,1,0,19,1,0,1,1,76.701
1088,Coassolo Torinese,0.0,0.0,0.0,0,0,5,7,0,0,0,20.075
1089,Coazze,0.0,1.897,24.823,1,1,15,39,0,4,0,36.92
1090,Collegno,0.0,0.0,0.081,1,4,56,1,0,8,133,13.023
1091,Colleretto Castelnuovo,0.0,0.0,0.0,0,0,2,2,0,1,6,26.604
1092,Colleretto Giacosa,0.0,0.0,0.0,0,1,5,0,0,0,9,28.504
1093,Condove,0.0,0.121,0.0,1,1,23,15,0,8,6,30.17
1094,Corio,0.0,0.0,0.0,0,0,3,32,0,3,2,17.674
1095,Cossano Canavese,0.0,0.0,0.0,0,0,0,0,0,0,8,34.282
1096,Cuceglio,0.0,0.0,1.307,0,2,7,5,0,0,3,21.581
1097,Cumiana,0.0,0.888,8.322,0,2,45,27,2,12,28,33.329
1098,Cuorgnè,0.0,0.0,0.357,2,5,29,0,0,20,44,22.146
1099,Druento,0.0,0.665,20.943,0,2,18,2,0,4,19,8.378
1100,Exilles,0.0,0.844,9.773,1,1,3,40,0,0,7,58.49
1101,Favria,0.0,0.283,0.0,0,1,12,0,0,1,17,12.511
1102,Feletto,0.0,0.0,0.0,0,0,3,0,0,0,9,13.481
1103,Fenestrelle,0.0,0.743,16.479,1,1,9,15,0,2,2,50.666
1104,Fiano,0.0,0.0,5.645,0,1,19,0,0,0,2,9.72
1105,Fiorano Canavese,0.0,0.0,0.0,0,3,2,1,0,1,4,32.657
1106,Foglizzo,0.0,0.0,0.0,1,1,6,0,0,1,10,15.393
1107,Forno Canavese,0.0,0.0,0.0,0,0,3,4,0,1,14,17.582
1108,Frassinetto,0.0,0.0,0.0,0,0,3,8,0,0,16,29.313
1109,Front,0.0,0.236,3.569,0,2,8,3,0,0,17,8.215
1110,Frossasco,0.0,0.0,0.098,2,2,41,11,0,6,24,37.574
1111,Garzigliana,0.0,0.0,0.0,0,0,5,0,0,0,0,37.639
1112,Gassino Torinese,0.0,0.0,0.0,0,2,14,10,0,0,24,17.382
1113,Germagnano,0.0,0.0,0.0,0,0,2,5,0,0,15,16.356
1114,Giaglione,0.0,1.807,3.397,1,3,9,29,0,1,5,55.114
1115,Giaveno,0.0,0.353,0.0,0,0,31,15,0,7,11,33.52
1116,Givoletto,0.0,0.0,2.0,0,0,9,6,0,0,0,13.045
1117,Gravere,0.0,0.0,0.852,0,1,4,9,0,0,2,50.004
1118,Groscavallo,0.0,0.267,0.0,0,2,7,29,0,0,1,37.891
1119,Grosso,0.0,0.0,0.074,0,0,5,0,0,0,1,10.048
1120,Grugliasco,0.0,0.0,0.0,1,4,81,0,0,11,149,16.767
1121,Ingria,0.0,0.0,0.0,1,0,0,3,0,0,5,31.18
1122,Inverso Pinasca,0.0,0.0,0.0,0,0,2,0,0,0,0,45.415
1123,Isolabella,0.0,0.0,0.0,0,0,2,1,0,0,0,38.759
1124,Issiglio,0.0,0.0,0.0,1,1,2,1,0,0,3,28.389
1125,Ivrea,0.0,3.4,3.207,5,11,100,4,0,9,151,33.882
1126,La Cassa,0.0,0.415,7.532,0,0,13,11,0,1,7,10.674
1127,La Loggia,0.0,0.0,0.367,0,2,22,0,0,0,6,27.542
1128,Lanzo Torinese,0.0,0.0,0.306,2,0,16,11,0,0,7,15.77
1129,Lauriano,0.0,0.0,2.323,1,0,5,2,0,1,11,27.096
1130,Leini,0.0,1.271,0.015,0,0,32,1,0,1,35,5.606
1131,Lemie,0.0,0.0,0.0,0,1,3,9,0,0,14,28.997
1132,Lessolo,0.0,0.664,0.0,1,2,7,1,0,0,36,34.075
1133,Levone,0.0,0.727,0.0,0,0,5,2,0,1,4,13.863
1134,Locana,0.0,0.703,0.0,0,0,14,18,0,1,43,32.274
1135,Lombardore,0.0,0.226,4.807,0,0,12,0,1,0,8,7.103
1136,Lombriasco,0.0,0.196,0.0,0,3,12,0,0,0,5,33.008
1137,Loranzè,0.0,0.0,0.0,0,1,9,1,0,0,9,29.883
1139,Luserna San Giovanni,0.0,0.0,0.0,0,2,21,1,0,10,4,41.928
1140,Lusernetta,0.0,0.0,0.0,0,0,3,0,0,0,0,40.737
1141,Lusigliè,0.0,0.0,0.0,0,0,0,0,0,1,3,15.447
1142,Macello,0.0,0.0,0.0,0,1,6,0,0,0,1,37.363
1143,Maglione,0.0,0.949,0.167,0,0,3,1,0,0,4,32.725
1144,Marentino,0.0,0.0,0.0,0,0,12,5,0,0,0,23.439
1145,Massello,0.0,1.115,23.245,1,0,0,9,0,1,0,55.705
1146,Mathi,0.0,0.0,0.0,0,0,8,1,0,0,7,10.841
1147,Mattie,0.0,0.0,15.466,0,1,2,12,0,0,0,44.336
1148,Mazzè,0.0,1.548,1.834,0,1,6,6,0,0,32,24.461
1149,Meana di Susa,0.0,0.0,7.227,0,0,0,5,0,0,5,47.33
1150,Mercenasco,0.0,0.0,0.0,0,1,4,5,0,0,6,24.373
1152,Mezzenile,0.0,0.0,0.0,0,1,2,16,0,1,1,24.093
1153,Mombello di Torino,0.0,0.0,0.0,0,0,11,4,0,0,0,27.334
1154,Mompantero,0.0,0.0,23.886,0,2,0,27,0,1,7,45.345
1155,Monastero di Lanzo,0.0,0.0,0.0,0,0,1,9,0,0,0,22.035
1156,Moncalieri,0.0,0.691,0.0,0,5,235,11,0,17,229,23.945
1157,Moncenisio,0.0,1.782,0.0,1,0,0,3,0,0,0,52.389
1158,Montaldo Torinese,0.0,0.0,0.0,0,2,12,5,0,0,0,21.748
1159,Montalenghe,0.0,0.0,0.0,0,2,4,3,0,0,4,20.414
1160,Montalto Dora,0.0,4.043,3.407,0,2,6,7,0,0,8,36.57
1161,Montanaro,0.0,0.0,0.0,0,1,5,1,0,0,12,16.065
1162,Monteu da Po,0.0,0.0,2.077,0,0,5,0,0,1,5,28.948
1163,Moriondo Torinese,0.0,0.0,0.0,0,1,14,2,0,0,0,29.044
1164,Nichelino,0.0,0.0,9.333,1,10,52,1,0,6,120,23.535
1165,Noasca,0.0,2.487,0.0,0,0,3,14,0,0,21,30.84
1166,Nole,0.0,0.0,1.466,0,1,29,2,0,0,5,8.096
1167,Nomaglio,0.0,0.0,0.014,1,0,1,1,0,0,4,41.369
1168,None,0.0,0.0,0.003,0,0,26,0,0,1,9,30.06
1169,Novalesa,0.0,0.0,0.085,3,0,1,17,0,0,2,48.451
1170,Oglianico,0.0,0.0,0.0,0,19,1,0,0,0,4,13.322
1171,Orbassano,0.0,0.0,2.529,0,0,59,2,1,8,74,22.867
1172,Orio Canavese,0.0,0.0,0.0,0,1,5,2,0,0,4,21.116
1173,Osasco,0.0,0.0,0.0,0,1,10,0,0,1,1,39.899
1174,Osasio,0.0,0.0,0.001,0,0,18,0,0,0,0,36.335
1175,Oulx,0.0,2.17,31.023,0,3,47,61,0,2,18,69.322
1176,Ozegna,0.0,0.113,0.0,0,2,6,1,0,3,7,17.727
1177,Palazzo Canavese,0.0,0.0,2.492,0,1,1,1,0,0,2,38.368
1178,Pancalieri,0.0,0.0,1.212,0,1,23,0,0,0,0,31.797
1179,Parella,0.0,0.0,0.0,0,0,3,0,0,0,4,27.176
1180,Pavarolo,0.0,0.0,0.0,1,0,13,3,0,0,0,19.843
1181,Pavone Canavese,0.0,0.0,0.684,0,1,3,1,0,0,29,29.849
1183,Pecetto Torinese,0.0,0.0,0.0,0,1,81,4,0,2,11,21.798
1184,Perosa Argentina,0.0,0.0,0.0,1,0,10,5,0,7,3,43.8
1185,Perosa Canavese,0.0,0.0,0.044,1,0,2,1,0,0,6,27.05
1186,Perrero,0.0,0.689,9.541,0,1,2,21,0,1,0,51.814
1187,Pertusio,0.0,0.0,0.208,0,0,5,0,0,0,3,16.748
1188,Pessinetto,0.0,0.0,0.0,0,0,1,5,0,1,7,20.033
1189,Pianezza,0.0,0.0,0.055,1,1,25,2,0,5,51,12.302
1190,Pinasca,0.0,0.0,0.016,0,0,8,6,0,4,0,41.023
1191,Pinerolo,0.0,0.269,0.0,7,5,80,6,0,26,27,41.864
1192,Pino Torinese,0.0,0.0,3.884,2,1,97,14,0,1,26,20.006
1193,Piobesi Torinese,0.0,0.0,0.0,0,2,34,0,0,3,3,31.378
1194,Piossasco,0.0,0.519,3.879,0,2,57,13,0,2,25,28.576
1195,Piscina,0.0,0.0,0.0,0,0,18,0,0,1,3,35.811
1196,Piverone,0.0,1.472,3.425,0,3,6,2,0,0,3,38.735
1197,Poirino,0.0,6.545,0.001,0,2,106,0,0,7,22,36.397
1198,Pomaretto,0.0,0.0,0.0,2,0,2,2,0,2,0,46.47
1199,Pont Canavese,0.0,0.0,0.02,0,4,9,1,0,2,53,26.256
1200,Porte,0.0,0.0,0.0,0,1,2,2,0,1,4,45.477
1201,Pragelato,0.0,0.854,89.018,3,0,53,42,0,1,13,60.517
1202,Prali,0.0,4.275,0.09,1,0,26,35,0,3,0,58.977
1203,Pralormo,0.0,1.112,0.0,0,2,16,0,0,0,16,40.351
1204,Pramollo,0.0,0.0,0.0,0,0,1,9,0,0,0,49.224
1205,Prarostino,0.0,0.0,0.0,1,0,5,6,0,1,0,45.352
1206,Prascorsano,0.0,0.0,0.403,0,0,2,0,0,1,10,18.319
1207,Pratiglione,0.0,0.0,0.0,0,1,1,2,0,0,4,18.814
1208,Quagliuzzo,0.0,0.0,0.0,0,2,1,2,0,0,4,26.827
1209,Quassolo,0.0,0.0,0.0,0,1,0,1,0,0,5,38.605
1210,Quincinetto,0.0,0.0,0.0,0,0,4,12,0,0,0,37.796
1211,Reano,0.0,0.0,0.0,0,1,14,4,0,1,6,24.002
1212,Ribordone,0.0,0.074,2.981,0,1,1,10,0,0,0,31.085
1213,Rivalba,0.0,0.0,3.51,0,1,22,3,0,0,19,20.615
1214,Rivalta di Torino,0.0,0.0,0.073,0,2,132,1,0,4,82,22.327
1215,Riva presso Chieri,0.0,3.771,0.0,1,0,20,1,0,1,1,30.891
1216,Rivara,0.0,0.316,0.0,0,3,12,0,0,3,14,13.99
1217,Rivarolo Canavese,0.0,0.113,0.0,1,2,20,1,0,3,51,12.877
1218,Rivarossa,0.0,0.0,1.712,0,1,29,2,0,0,8,7.092
1219,Rivoli,0.0,0.54,0.026,4,5,132,7,1,26,116,17.922
1220,Robassomero,0.0,0.0,8.186,0,0,8,1,0,3,0,5.818
1221,Rocca Canavese,0.0,0.0,0.0,0,2,7,8,0,1,0,13.402
1222,Roletto,0.0,0.0,0.0,0,0,33,2,0,2,8,39.816
1223,Romano Canavese,0.0,0.0,0.094,1,8,8,1,0,0,14,28.066
1224,Ronco Canavese,0.0,1.709,3.424,0,0,6,14,0,0,20,27.612
1225,Rondissone,0.0,0.0,1.571,0,0,4,3,0,0,14,24.87
1226,Rorà,0.0,0.0,0.0,3,0,2,11,0,1,1,42.914
1227,Roure,0.0,2.293,21.956,0,0,6,32,0,1,0,46.278
1228,Rosta,0.0,0.2,0.0,0,0,5,2,0,4,23,20.113
1229,Rubiana,0.0,0.0,1.628,1,1,6,13,0,0,23,22.279
1230,Rueglio,0.0,0.0,0.0,0,0,10,3,0,0,3,31.067
1231,Salassa,0.0,0.0,0.0,0,0,7,0,0,0,10,17.883
1232,Salbertrand,0.0,0.152,13.095,3,5,4,33,0,0,7,61.999
1233,Salerano Canavese,0.0,0.0,0.0,0,0,1,0,0,0,4,32.255
1234,Salza di Pinerolo,0.0,0.0,0.127,1,0,0,4,0,0,0,57.071
1235,Samone,0.0,0.0,0.0,0,0,5,0,0,0,6,31.08
1236,San Benigno Canavese,0.0,0.415,0.0,0,0,19,0,1,0,20,11.151
1237,San Carlo Canavese,0.0,0.0,10.186,0,1,31,2,0,0,2,6.606
1238,San Colombano Belmonte,0.0,0.0,0.0,0,0,4,0,0,0,8,20.902
