province_code,municipality_id,municipality_name,total_overnight_stays,island_municipality,altitude_zone,total_hotel_beds,total_non_hotel_beds,high_end_hotel_beds_pct,total_population,sea_coast_km,lake_coast_km,protected_areas_sqkm,museums,architectural_features,sports_facilities,nature_based,theme_parks,nightlife,public_transport_points,airport_straight_km,unesco_sites,n_unesco_sites
001,001001,Agliè,494,0,3,0.0,82.0,0.0,2596.0,0.0,0.432,3.056,0,4,8,4,0,0,11,20.818,,0
001,001002,Airasca,1677,0,5,0.0,12.0,0.0,3686.0,0.0,0.172,0.0,0,0,11,1,0,1,5,33.66,,0
001,001003,Ala di Stura,6690,0,1,106.0,78.0,0.0,472.0,0.0,0.387,0.0,0,1,18,25,0,1,0,31.289,,0
001,001004,Albiano d'Ivrea,1627,0,3,0.0,35.0,0.0,1617.0,0.0,0.0,0.0,0,1,3,0,0,2,22,34.386,,0
001,001006,Almese,264,0,3,0.0,22.0,0.0,6315.0,0.0,0.29,3.442,0,0,12,21,0,0,29,20.366,,0
001,001007,Alpette,112,0,1,0.0,54.0,0.0,246.0,0.0,0.0,0.0,1,0,6,1,0,0,7,23.601,,0
001,001008,Alpignano,1538,0,3,0.0,59.0,0.0,16587.0,0.0,0.0,0.0,1,0,17,0,0,4,22,15.305,,0
001,001009,Andezeno,911,0,3,0.0,5.0,0.0,2001.0,0.0,0.0,0.0,0,0,5,3,0,2,0,24.928,,0
001,001010,Andrate,213,0,1,0.0,14.0,0.0,467.0,0.0,0.035,1.984,0,1,2,6,0,0,5,42.629,,0
001,001011,Angrogna,1425,0,1,0.0,122.0,0.0,806.0,0.0,0.492,0.155,5,0,2,15,0,0,0,49.641,,0
001,001012,Arignano,1103,0,3,20.0,19.0,100.0,1073.0,0.0,0.077,0.0,0,2,4,3,0,0,0,26.617,,0
001,001013,Avigliana,27757,0,3,236.0,812.0,0.0,12191.0,0.0,0.0,4.134,1,5,51,9,0,8,18,24.681,,0
001,001014,Azeglio,565,0,3,0.0,12.0,0.0,1242.0,0.0,2.852,1.972,1,2,4,3,0,0,20,36.401,,0
